welcome.started,welcome.stopped,welcome_key_input.keys,welcome_key_input.rt,welcome_key_input.duration,trial.started,trial.stopped,image_key_input.keys,image_key_input.rt,image_key_input.duration,wait.started,wait.stopped,loops.thisRepN,loops.thisTrialN,loops.thisN,loops.thisIndex,loops.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,break_2.started,break_2.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
0.0018,1.1431,space,0.1274,,1.1446,4.1423,space,0.5142,,4.1425,5.1422,0,0,0,0,1,090715,001,2025-03-17_15h21.06.203,image_shower,2024.2.4,MacIntel,62.5,,,,,,,
,,,,,5.1434,8.1418,space,0.3157,,8.1418,9.142,1,0,1,0,1,090715,001,2025-03-17_15h21.06.203,image_shower,2024.2.4,MacIntel,62.5,,,,,,,
,,,,,9.1431,12.1419,space,0.4668,,12.1421,13.142,2,0,2,0,1,090715,001,2025-03-17_15h21.06.203,image_shower,2024.2.4,MacIntel,62.5,,,,,,,
,,,,,,,,,,,,,,,,,090715,001,2025-03-17_15h21.06.203,image_shower,2024.2.4,MacIntel,62.5,13.1426,18.176,0,0,0,0,1
18.1772,19.8589,space,0.6528,,19.8609,22.8586,space,0.7727,,22.8586,23.8586,0,0,0,0,1,090715,001,2025-03-17_15h21.06.203,image_shower,2024.2.4,MacIntel,62.5,,,,,,,
,,,,,23.86,26.8587,space,0.4991,,26.8588,27.8587,1,0,1,0,1,090715,001,2025-03-17_15h21.06.203,image_shower,2024.2.4,MacIntel,62.5,,,,,,,
,,,,,27.8601,30.8585,space,0.5612,,30.8586,31.8586,2,0,2,0,1,090715,001,2025-03-17_15h21.06.203,image_shower,2024.2.4,MacIntel,62.5,,,,,,,
,,,,,,,,,,,,,,,,,090715,001,2025-03-17_15h21.06.203,image_shower,2024.2.4,MacIntel,62.5,31.8589,36.893,1,0,1,0,1
36.8952,40.8254,space,2.9008,,40.8271,43.8252,space,0.9053,,43.8254,44.8252,0,0,0,0,1,090715,001,2025-03-17_15h21.06.203,image_shower,2024.2.4,MacIntel,62.5,,,,,,,
,,,,,44.8267,47.8253,space,0.4785,,47.8254,48.8245,1,0,1,0,1,090715,001,2025-03-17_15h21.06.203,image_shower,2024.2.4,MacIntel,62.5,,,,,,,
,,,,,48.8257,51.8252,space,0.4589,,51.8253,52.8251,2,0,2,0,1,090715,001,2025-03-17_15h21.06.203,image_shower,2024.2.4,MacIntel,62.5,,,,,,,
,,,,,,,,,,,,,,,,,090715,001,2025-03-17_15h21.06.203,image_shower,2024.2.4,MacIntel,62.5,52.8254,57.8592,2,0,2,0,1
