welcome.started,welcome.stopped,welcome_key_input.keys,welcome_key_input.rt,welcome_key_input.duration,trial.started,trial.stopped,image_key_input.keys,wait.started,wait.stopped,loops.thisRepN,loops.thisTrialN,loops.thisN,loops.thisIndex,loops.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,break_2.started,break_2.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_key_input.rt,image_key_input.duration
0.0012,13.7653,space,12.7334,,13.7678,19.7654,,19.7658,20.7647,0,0,0,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,20.7663,23.7651,,23.7653,24.7649,1,0,1,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,24.7659,31.765,,31.765,32.7649,2,0,2,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,32.7663,39.765,,39.765,40.7649,3,0,3,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,40.7661,44.7649,,44.765,45.7649,4,0,4,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,,,,,,,,,,,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,45.7655,50.7991,0,0,0,0,1,,
50.8006,52.8317,space,1.0017,,52.8348,59.8314,,59.8316,60.8314,0,0,0,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,60.8328,63.8315,space,63.8316,64.8315,1,0,1,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,0.968,
,,,,,64.8328,70.8314,,70.8316,71.8314,2,0,2,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,71.8326,75.8304,,75.8305,76.8313,3,0,3,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,76.8326,79.8314,,79.8314,80.8314,4,0,4,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,,,,,,,,,,,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,80.8316,85.8646,1,0,1,0,1,,
85.867,87.2638,space,0.366,,87.2648,93.2637,,93.2638,94.2638,0,0,0,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,94.2653,98.2637,,98.2637,99.2646,1,0,1,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,99.2657,105.2643,,105.2644,106.2641,2,0,2,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,106.265,109.2645,space,109.2645,110.2645,3,0,3,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,1.3133,
,,,,,110.2658,117.2645,space,117.2647,118.2641,4,0,4,0,1,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,5.7463,
,,,,,,,,,,,,,,,964900,001,2025-06-24_18h06.28.524,image_shower,2024.2.4,MacIntel,59.88023952,118.2643,123.2812,2,0,2,0,1,,
